iso2_code,python,javascript,react,typescript,hacktoberfest,java,nodejs,docker,css,html,reactjs,golang,machine-learning,php,nextjs,api,tailwindcss,rust,android,linux,go,kubernetes,python3,vue,blog,deep-learning,cpp,mongodb,dotfiles,website,documentation,ai,cli,html5,game,mysql,postgresql,blockchain,csharp,database
AE,0.02489292382033166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.04757182563515231,0.06697207983574731,0.05810997667500035,0.034833861753984105,0.0038898277860804223,0.026181264578124783,0.03361174350880623,0.010398480383256282,0.036454041370448484,0.03039931840719583,0.022696481696160453,0.0,0.0,0.0,0.017319161417377823,0.009951534282162661,0.011732335153707557,0.0014246406972359177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007123203486179589,0.0,0.0,0.0,0.0,0.0,0.012277050714415408,0.0,0.006417866670391218,0.0014525748285542691,0.00225568110395687,0.0,0.0
AT,0.13894476956839796,0.08049103877103146,0.030061265544989026,0.06339155084125823,0.10732900512070227,0.07553035844915874,0.0,0.0331016825164594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073152889539136795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02503200438917337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,0.06482165134811722,0.04534969575069379,0.04845583929526186,0.042243552206125724,0.040950174402321966,0.022481350408636098,0.02659062555694172,0.023581230745729053,0.015622374417598086,0.016416732438831887,0.012719912416936121,0.016987040761768973,0.013682307711892456,0.012801385034498562,0.012999974539807013,0.014950225322707946,0.005860936425898108,0.013992922066349263,0.0,0.013748504213661939,0.0112941416095934,0.004878172976551162,0.01208340759222955,0.0,0.001598900119662907,0.0005142958983629096,0.0005142958983629096,0.0,0.014665071161239402,0.007123761998115946,0.011090460065687298,0.004689767548438017,0.01119230083764035,0.0,0.009664689258344579,0.0,0.0,0.0022455890215647835,0.003304733049876518,0.0
BD,0.022674580194836036,0.042555736545653484,0.035058524692248426,0.01760842108225824,0.0009604593317595404,0.01131442201809041,0.027497985849936145,0.001769637523351827,0.024922688301042432,0.022980660641220944,0.033035579213267705,0.0,0.003630747364014087,0.012324135674555568,0.01504015986546533,0.007979200602310027,0.027350222875819293,0.0,0.0011047041398259915,0.0,0.0,0.0,0.008306390044997343,0.0,0.0,0.0,0.004939505134763351,0.024074810282895733,0.0,0.00038699826554413713,0.0,0.0011891401250356214,0.0,0.017907465196542346,0.0,0.0038699826554413714,0.0033246669176291784,0.0,0.0,0.0
BE,0.13506707568334783,0.07153976466279016,0.037223570349342976,0.047731330983013597,0.08152099262854265,0.04599148390641454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022343299299482623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009752300718831555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,0.0039579372162508245,0.11536222886189904,0.07089364013813977,0.08777307826626829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR,0.023302681589286448,0.03836632531250143,0.02591600766560403,0.027026285337931475,0.011221694208261105,0.01517341370935652,0.021116429365300792,0.010792333481217898,0.0239338590096003,0.0230031010021085,0.01730935468969397,0.004398803507151057,0.004198701969913877,0.006803452266064151,0.010656836154574436,0.010627106783327768,0.006596490104693124,0.002141086448437836,0.004346777107469391,0.004223857591737979,0.0027934174598310455,0.0020707650510659124,0.005753776773585682,0.003060410082373227,0.002525281399933223,0.0007358019383550053,0.0028220033937220715,0.006060217984897479,0.003534936584964256,0.00346175659420323,0.0011422939182853928,0.0014710321580321901,0.002695081847245917,0.011527563700895083,0.00440223381921798,0.006651946816441714,0.006609639634282996,0.0010456734617337255,0.0047121053425967,0.0024526731278500177
BY,0.0,0.04133441822620016,0.13224844046650394,0.05505831299159208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0.044548500605786565,0.036679072248018876,0.037805139620760216,0.026286499365228432,0.025395210518077947,0.017834472443957496,0.020506889735250982,0.014663513098322927,0.014201202297931051,0.013093975177243294,0.012392538100786653,0.010949084943450258,0.014538877584737656,0.006925966504930349,0.010514309896059778,0.010209967362886442,0.006914372503666603,0.010157794357199585,0.008925931722926557,0.008641878691964778,0.009362156020475007,0.00890709147087297,0.009428821527741547,0.005218749818843731,0.0058114931334527515,0.008385361414004394,0.007112919775308256,0.007179585282574796,0.007966528118351565,0.008811440960447064,0.007236106038735558,0.005802797632504942,0.007805661350817087,0.0036767476507654938,0.0083302899080016,0.003776745911665304,0.0065955374689135845,0.005915839144826467,0.006804229491661014,0.0062636591827388505
