,tree_id,tree_dbh,health,steward,postcode,borough,cncldist,nta_name,nta,latitude,longitude
1,200540,21,Fair,,11357,Queens,19,Whitestone,QN49,40.79411067,-73.81867946
56,197978,7,Good,1or2,11365,Queens,20,Queensboro Hill,QN62,40.74068684,-73.80826026
58,178601,10,Fair,,10312,Staten Island,51,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,40.53211313,-74.1561806
59,184317,5,Good,,10458,Bronx,15,Belmont,BX06,40.85677447,-73.89097861
60,200225,8,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78993607,-73.97721169
63,198121,8,Fair,,10016,Manhattan,2,Murray Hill-Kips Bay,MN20,40.74503399,-73.98253015
64,195252,5,Good,,10011,Manhattan,3,West Village,MN23,40.73599985,-73.99985935
66,205759,26,Good,,11370,Queens,22,Steinway,QN72,40.76686765,-73.89540541
67,201654,10,Good,1or2,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.68194327,-74.00410729
68,198514,18,Good,,10025,Manhattan,7,Morningside Heights,MN09,40.80230109,-73.9620798
123,193014,22,Good,,11212,Brooklyn,41,Brownsville,BK81,40.66522204,-73.92220308
124,180707,17,Fair,,11210,Brooklyn,45,Midwood,BK43,40.62700131,-73.95649259
126,192814,7,Good,,10014,Manhattan,3,West Village,MN23,40.73998079,-74.00504966
128,196765,20,Fair,,11415,Queens,29,Kew Gardens,QN60,40.70649325,-73.82961562
129,178599,13,Good,,10312,Staten Island,51,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,40.53195766,-74.15632856
130,208229,5,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78220389,-73.97237311
131,189313,2,Good,1or2,11374,Queens,29,Forest Hills,QN17,40.72877985,-73.85600425
132,208876,20,Good,,11105,Queens,22,Steinway,QN72,40.77399973,-73.91633969
133,189570,27,Fair,3or4,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66701232,-73.97646441
147,201658,32,Good,,11375,Queens,29,Forest Hills,QN17,40.715253,-73.85049293
149,186817,4,Good,,11370,Queens,22,Steinway,QN72,40.77079674,-73.89080443
